,feature_00,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target_00,target_01
58,5.14,7.71666666,21637620.0,32.072050000000004,141.67113333333333,175336.0,175336.0,998.6809999999999,561.15,917.687,207700.0,99800.0,1112800.0,102600.0,0.26034,0.515,0.95,0.981
59,6.175,9.259999992000001,29794580.0,38.4555,147.243,246315.0,246315.0,1066.821,561.15,948.194,249900.0,99800.0,1327300.0,103000.0,0.35320999999999997,0.699,0.95,0.981
60,7.148,10.803333324,38979934.0,44.634800000000006,152.25723333333332,332058.0,332058.0,1121.663,561.15,972.059,296000.0,99800.0,1557500.0,103499.99999999999,0.45392000000000005,0.899,0.95,0.981
61,8.206,12.346666656,50998096.0,51.46061666666667,155.34609999999998,438054.0,438054.0,1219.021,561.15,1013.9399999999999,357100.0,99800.0,1850400.0000000002,104099.99999999999,0.61857,1.225,0.95,0.981
62,9.3,13.889999988,72767717.0,59.34028333333333,163.05355,644801.0,644801.0,1383.5459999999998,561.15,1061.3919999999998,449000.0,99800.0,2264700.0,104900.0,0.91917,1.82,0.95,0.981
63,1.138,1.543333332,3774812.0,23.6481,112.40588333333334,11699.0,11699.0,835.693,561.15,841.834,123600.0,99800.0,668800.0,101899.99999999999,0.0,0.191,0.95,0.982
64,2.088,3.086666664,6606714.0,22.6488,113.92748333333334,25032.0,25032.0,897.747,561.15,852.125,131600.0,99800.0,715500.0,101899.99999999999,0.18868,0.282,0.95,0.982
65,3.144,4.6299999960000005,8379928.0,23.112683333333333,118.83223333333333,60365.0,60365.0,873.358,561.15,859.6859999999999,138800.0,99800.0,752200.0,102000.0,0.12847,0.254,0.95,0.982
66,4.161,6.173333328,14725068.000000002,25.791166666666665,130.11246666666665,113794.0,113794.0,928.34,561.15,885.86,165600.0,99800.0,894300.0,102200.0,0.17809000000000003,0.353,0.95,0.982
67,5.14,7.71666666,21637728.0,32.07208333333333,141.68635,175288.0,175288.0,997.696,561.15,917.504,207600.0,99800.0,1111600.0,102600.0,0.25977,0.514,0.95,0.982
68,6.175,9.259999992000001,29794843.999999996,38.455283333333334,147.26021666666665,246246.0,246246.0,1065.7060000000001,561.15,947.971,249900.0,99800.0,1325900.0,103000.0,0.35247999999999996,0.698,0.95,0.982
69,7.148,10.803333324,38979558.0,44.634800000000006,152.26555000000002,332152.0,332152.0,1120.6329999999998,561.15,971.886,295900.0,99800.0,1555800.0,103499.99999999999,0.45311999999999997,0.897,0.95,0.982
70,8.206,12.346666656,50998040.0,51.46061666666667,155.3521,438031.0,438031.0,1217.9879999999998,561.15,1013.778,357000.0,99800.0,1848200.0,104099.99999999999,0.61761,1.223,0.95,0.982
71,9.3,13.889999988,72768205.99999999,59.34038333333333,163.06626666666668,644965.0,644965.0,1382.6529999999998,561.15,1061.253,448900.0,99800.0,2261900.0,104900.0,0.9181100000000001,1.817,0.95,0.982
72,1.138,1.543333332,4053735.0,23.631449999999997,112.44116666666667,11648.0,11648.0,843.624,561.15,842.803,124500.00000000001,99800.0,673000.0,101899.99999999999,0.0,0.2,0.95,0.983
73,2.088,3.086666664,6563076.0,22.63723333333333,113.96294999999999,24908.0,24908.0,895.894,561.15,851.7869999999999,131400.0,99800.0,713900.0,101899.99999999999,0.19074000000000002,0.28,0.95,0.983
74,3.144,4.6299999960000005,8380079.0,23.1127,118.87549999999999,60363.0,60363.0,872.5369999999999,561.15,859.5369999999999,138800.0,99800.0,751500.0,102000.0,0.12813000000000002,0.254,0.95,0.983
75,4.161,6.173333328,14725087.0,25.791166666666665,130.14608333333334,113802.0,113802.0,927.451,561.15,885.698,165600.0,99800.0,893399.9999999999,102200.0,0.17767,0.352,0.95,0.983
76,5.14,7.71666666,21637988.999999996,32.0721,141.70165,175321.0,175321.0,996.7139999999999,561.15,917.322,207600.0,99800.0,1110500.0,102600.0,0.25921,0.513,0.95,0.983
77,6.175,9.259999992000001,29795241.0,38.45518333333334,147.27758333333335,246255.0,246255.0,1064.594,561.15,947.749,249900.0,99800.0,1324600.0,103000.0,0.35176,0.696,0.95,0.983
78,7.148,10.803333324,38979212.99999999,44.634816666666666,152.27388333333334,332045.0,332045.0,1119.607,561.15,971.7139999999999,295800.0,99800.0,1554100.0,103499.99999999999,0.45231000000000005,0.896,0.95,0.983
79,8.206,12.346666656,50997940.0,51.460566666666665,155.35806666666667,438004.0,438004.0,1216.9589999999998,561.15,1013.617,356900.0,99800.0,1846099.9999999998,104099.99999999999,0.6166400000000001,1.221,0.95,0.983
80,9.3,13.889999988,72768423.0,59.340516666666666,163.07886666666667,645029.0,645029.0,1381.7620000000002,561.15,1061.114,448800.00000000006,99800.0,2259200.0,104900.0,0.91705,1.815,0.95,0.983
81,1.138,1.543333332,5449868.0,23.464066666666668,112.38796666666667,11046.0,11046.0,883.576,561.15,848.271,128800.0,99800.0,697500.0,101899.99999999999,0.0,0.249,0.95,0.984
82,2.088,3.086666664,6491693.0,22.612133333333333,113.99018333333333,24629.0,24629.0,893.52,561.15,851.329,131100.0,99800.0,711800.0,101899.99999999999,0.19526,0.278,0.95,0.984
83,3.144,4.6299999960000005,8380141.0,23.112716666666664,118.91866666666667,60365.0,60365.0,871.718,561.15,859.387,138800.0,99800.0,750800.0,102000.0,0.1278,0.253,0.95,0.984
84,4.161,6.173333328,14725170.0,25.791183333333333,130.17983333333333,113792.0,113792.0,926.5649999999999,561.15,885.5369999999999,165600.0,99800.0,892500.0000000001,102200.0,0.17724,0.351,0.95,0.984
85,5.14,7.71666666,21638127.0,32.07213333333333,141.71689999999998,175304.0,175304.0,995.733,561.15,917.14,207600.0,99800.0,1109300.0,102600.0,0.25865,0.512,0.95,0.984
86,6.175,9.259999992000001,29795502.0,38.455000000000005,147.29478333333333,246333.0,246333.0,1063.4859999999999,561.15,947.526,249800.00000000003,99800.0,1323200.0,103000.0,0.35103,0.695,0.95,0.984
87,7.148,10.803333324,38978773.0,44.634800000000006,152.28221666666667,332181.0,332181.0,1118.5810000000001,561.15,971.542,295800.0,99800.0,1552400.0,103499.99999999999,0.4515,0.894,0.95,0.984
88,8.206,12.346666656,50997820.0,51.46055,155.36403333333334,438067.0,438067.0,1215.932,561.15,1013.456,356800.0,99800.0,1844000.0000000002,104099.99999999999,0.61568,1.219,0.95,0.984
89,9.3,13.889999988,72770382.0,59.340349999999994,163.09173333333334,644892.0,644892.0,1380.882,561.15,1060.9769999999999,448700.0,99800.0,2256500.0,104900.0,0.91601,1.813,0.95,0.984
90,1.138,1.543333332,6303740.0,23.283183333333334,112.32308333333333,10400.0,10400.0,907.318,561.15,851.207,131200.0,99800.0,711000.0,101899.99999999999,0.0,0.278,0.95,0.985
91,2.088,3.086666664,6420429.0,22.596416666666666,114.02326666666666,24465.0,24465.0,891.1039999999999,561.15,850.9499999999999,130900.0,99800.0,710100.0,101899.99999999999,0.20263000000000003,0.276,0.95,0.985
92,3.144,4.6299999960000005,8380258.0,23.112716666666664,118.96191666666667,60371.0,60371.0,870.9,561.15,859.2379999999999,138800.0,99800.0,750100.0,102000.0,0.12746000000000002,0.252,0.95,0.985
93,4.161,6.173333328,14725326.0,25.791183333333333,130.21371666666667,113806.0,113806.0,925.6809999999999,561.15,885.376,165500.0,99800.0,891600.0,102200.0,0.17681999999999998,0.35,0.95,0.985
94,5.14,7.71666666,21638293.999999996,32.07216666666667,141.73216666666667,175328.0,175328.0,994.756,561.15,916.958,207600.0,99800.0,1108200.0,102600.0,0.25809000000000004,0.511,0.95,0.985
95,6.175,9.259999992000001,29795876.0,38.454899999999995,147.31211666666667,246256.0,246256.0,1062.3809999999999,561.15,947.305,249800.00000000003,99800.0,1321800.0,103000.0,0.35031,0.694,0.95,0.985
96,7.148,10.803333324,38978199.0,44.634699999999995,152.29071666666664,332044.0,332044.0,1117.548,561.15,971.3729999999999,295700.0,99800.0,1550700.0,103499.99999999999,0.4507,0.892,0.95,0.985
97,8.206,12.346666656,50997702.00000001,51.46051666666666,155.36998333333335,437990.0,437990.0,1214.909,561.15,1013.2959999999999,356700.0,99800.0,1841900.0,104099.99999999999,0.61472,1.217,0.95,0.985
98,9.3,13.889999988,72771461.0,59.340349999999994,163.10436666666666,644815.0,644815.0,1380.0,561.15,1060.841,448500.00000000006,99800.0,2253800.0,104900.0,0.91496,1.811,0.95,0.985
99,1.138,1.543333332,7325655.0,22.916549999999997,112.14406666666667,9099.0,9099.0,939.4069999999999,561.15,854.0799999999999,133400.0,99800.0,724500.0,101899.99999999999,0.04989,0.322,0.95,0.986
100,2.088,3.086666664,6310331.0,22.57245,114.05133333333333,24201.0,24201.0,887.653,561.15,850.365,130500.0,99800.0,707400.0,101899.99999999999,0.20679,0.272,0.95,0.986
101,3.144,4.6299999960000005,8380389.999999999,23.11273333333333,119.00518333333332,60369.0,60369.0,870.0849999999999,561.15,859.0889999999999,138800.0,99800.0,749300.0,102000.0,0.12712,0.252,0.95,0.986
102,4.161,6.173333328,14725396.999999998,25.7912,130.2475,113784.0,113784.0,924.799,561.15,885.215,165500.0,99800.0,890700.0,102200.0,0.1764,0.349,0.95,0.986
103,5.14,7.71666666,21638498.0,32.07218333333333,141.74745,175300.0,175300.0,993.781,561.15,916.7769999999999,207500.00000000003,99800.0,1107100.0,102600.0,0.25754,0.51,0.95,0.986
104,6.175,9.259999992000001,29796172.000000004,38.45473333333334,147.32935,246337.0,246337.0,1061.28,561.15,947.0849999999999,249700.0,99800.0,1320500.0,103000.0,0.34959,0.692,0.95,0.986
105,7.148,10.803333324,38977811.0,44.63465,152.29916666666668,332138.0,332138.0,1116.5169999999998,561.15,971.203,295700.0,99800.0,1549000.0,103499.99999999999,0.44988999999999996,0.891,0.95,0.986
106,8.206,12.346666656,50997590.99999999,51.46048333333333,155.37593333333334,437990.0,437990.0,1213.8890000000001,561.15,1013.137,356600.0,99800.0,1839800.0,104099.99999999999,0.61376,1.215,0.95,0.986
107,9.3,13.889999988,72771813.0,59.34048333333333,163.11679999999998,644825.0,644825.0,1379.1170000000002,561.15,1060.705,448400.0,99800.0,2251100.0,104900.0,0.9139100000000001,1.809,0.95,0.986
108,1.138,1.543333332,7456772.0,22.72385,112.06655,8435.0,8435.0,945.2139999999999,561.15,854.105,133400.0,99800.0,724600.0,101899.99999999999,0.11382,0.333,0.95,0.987
109,2.088,3.086666664,6089628.0,22.52965,114.06716666666667,23732.0,23732.0,881.66,561.15,849.361,129800.0,99800.0,702700.0,101899.99999999999,0.21587,0.266,0.95,0.987
110,3.144,4.6299999960000005,8380489.0,23.11273333333333,119.04843333333334,60376.0,60376.0,869.271,561.15,858.9399999999999,138700.0,99800.0,748600.0,102000.0,0.12678,0.251,0.95,0.987
111,4.161,6.173333328,14725441.0,25.791216666666667,130.28128333333333,113809.0,113809.0,923.919,561.15,885.054,165500.0,99800.0,889800.0,102200.0,0.17598,0.348,0.95,0.987
112,5.14,7.71666666,21638563.0,32.07223333333334,141.76266666666666,175334.0,175334.0,992.808,561.15,916.596,207500.00000000003,99800.0,1105900.0,102600.0,0.25698,0.509,0.95,0.987
113,6.175,9.259999992000001,29796443.0,38.4546,147.34658333333334,246268.0,246268.0,1060.182,561.15,946.864,249700.0,99800.0,1319100.0,103000.0,0.34887,0.691,0.95,0.987
114,7.148,10.803333324,38977355.0,44.63465,152.3076,332161.0,332161.0,1115.4879999999998,561.15,971.033,295600.0,99800.0,1547300.0,103499.99999999999,0.44908000000000003,0.889,0.95,0.987
115,8.206,12.346666656,50997502.0,51.460433333333334,155.38186666666667,438025.0,438025.0,1212.8719999999998,561.15,1012.978,356600.0,99800.0,1837600.0000000002,104099.99999999999,0.61281,1.213,0.95,0.987
116,9.3,13.889999988,72772940.0,59.34038333333333,163.1293,645069.0,645069.0,1378.239,561.15,1060.57,448299.99999999994,99800.0,2248400.0,104900.0,0.9128700000000001,1.807,0.95,0.987
117,1.138,1.543333332,6810551.0,22.230583333333335,111.79048333333333,6756.0,6756.0,934.858,561.15,851.165,130800.0,99800.0,710700.0,101899.99999999999,0.25579999999999997,0.328,0.95,0.988
118,2.088,3.086666664,6169829.0,22.549033333333334,114.12236666666666,23940.0,23940.0,882.697,561.15,849.5749999999999,130100.0,99800.0,703700.0,101899.99999999999,0.21312,0.267,0.95,0.988
119,3.144,4.6299999960000005,8380543.0,23.112750000000002,119.09163333333332,60364.0,60364.0,868.458,561.15,858.7909999999999,138700.0,99800.0,747900.0,102000.0,0.12645,0.25,0.95,0.988
120,4.161,6.173333328,14725555.0,25.791216666666667,130.31518333333332,113809.0,113809.0,923.042,561.15,884.894,165500.0,99800.0,888899.9999999999,102200.0,0.17556000000000002,0.348,0.95,0.988
121,5.14,7.71666666,21638709.0,32.072266666666664,141.77793333333332,175299.0,175299.0,991.837,561.15,916.415,207500.00000000003,99800.0,1104800.0,102600.0,0.25642,0.508,0.95,0.988
122,6.175,9.259999992000001,29796752.999999996,38.454499999999996,147.36383333333333,246297.0,246297.0,1059.088,561.15,946.645,249700.0,99800.0,1317700.0,103000.0,0.34816,0.689,0.95,0.988
123,7.148,10.803333324,38977062.00000001,44.63461666666667,152.31605,332158.0,332158.0,1114.463,561.15,970.864,295500.0,99800.0,1545600.0,103499.99999999999,0.44828,0.888,0.95,0.988
124,8.206,12.346666656,50997385.0,51.46039999999999,155.38778333333332,438127.0,438127.0,1211.857,561.15,1012.8199999999999,356500.0,99800.0,1835500.0,104099.99999999999,0.61186,1.211,0.95,0.988
125,9.3,13.889999988,72773589.0,59.34048333333333,163.14166666666665,645021.0,645021.0,1377.3629999999998,561.15,1060.436,448200.0,99800.0,2245700.0,104900.0,0.9118300000000001,1.805,0.95,0.988
126,1.138,1.543333332,4893243.0,21.879183333333334,111.58651666666667,5598.0,5598.0,888.51,561.15,843.7339999999999,124900.00000000001,99800.0,676900.0,101899.99999999999,0.33173,0.278,0.95,0.989
127,2.088,3.086666664,5864141.0,22.49733333333333,114.1327,23383.0,23383.0,874.533,561.15,848.203,129099.99999999999,99800.0,697500.0,101899.99999999999,0.22212,0.258,0.95,0.989
128,3.144,4.6299999960000005,8380698.0,23.11276666666667,119.13496666666667,60366.0,60366.0,867.648,561.15,858.6419999999999,138700.0,99800.0,747200.0,102000.0,0.12611,0.25,0.95,0.989
129,4.161,6.173333328,14725621.000000002,25.79123333333333,130.34905,113813.0,113813.0,922.167,561.15,884.7339999999999,165500.0,99800.0,888100.0,102200.0,0.17514,0.347,0.95,0.989
130,5.14,7.71666666,21638765.0,32.0723,141.79316666666668,175350.0,175350.0,990.869,561.15,916.235,207399.99999999997,99800.0,1103700.0,102600.0,0.25587,0.506,0.95,0.989
131,6.175,9.259999992000001,29797061.0,38.45436666666667,147.38108333333332,246305.0,246305.0,1057.996,561.15,946.4259999999999,249600.0,99800.0,1316400.0,103000.0,0.34745,0.688,0.95,0.989
132,7.148,10.803333324,38976661.0,44.63458333333333,152.32448333333332,332072.0,332072.0,1113.44,561.15,970.696,295500.0,99800.0,1543900.0,103499.99999999999,0.44747000000000003,0.886,0.95,0.989
133,8.206,12.346666656,50997254.0,51.46038333333333,155.3937,438133.0,438133.0,1210.846,561.15,1012.663,356400.0,99800.0,1833400.0,104099.99999999999,0.6109100000000001,1.209,0.95,0.989
134,9.3,13.889999988,72773853.0,59.34056666666667,163.15385,645058.0,645058.0,1376.4859999999999,561.15,1060.3020000000001,448000.00000000006,99800.0,2243000.0,104900.0,0.91079,1.803,0.95,0.989
135,1.138,1.543333332,3716231.0,21.802416666666666,111.56054999999999,5337.0,5337.0,855.983,561.15,838.677,121200.0,99800.0,655000.0,101899.99999999999,0.33388,0.241,0.95,0.99
136,2.088,3.086666664,5609242.0,22.464233333333333,114.15481666666666,23017.0,23017.0,867.543,561.15,847.1089999999999,128299.99999999999,99800.0,692500.0,101899.99999999999,0.22981000000000001,0.25,0.95,0.99
137,3.144,4.6299999960000005,8380816.999999999,23.11276666666667,119.17826666666666,60381.0,60381.0,866.8389999999999,561.15,858.4929999999999,138700.0,99800.0,746400.0,102000.0,0.12577,0.249,0.95,0.99
